constituency,result_2017,result_2019,winner_votes_2019,winner_share_2019,majority_2019,turnout_2019,snp_2019,con_2019,lab_2019,ld_2019,grn_2019,brx_2019,other_2019,total_2019
Aberdeen North,SNP,SNP,"20,205",54.00%,"12,670",59.90%,"20,205","7,535","4,939","2,846",880,"1,008",,"37,413"
Aberdeen South,Con,SNP,"20,388",44.70%,"3,990",69.40%,"20,388","16,398","3,834","5,018",,,,"45,638"
Airdrie and Shotts,SNP,SNP,"17,929",45.10%,"5,201",62.10%,"17,929","7,011","12,728","1,419",685,,,"39,772"
Angus,Con,SNP,"21,216",49.10%,"3,795",67.50%,"21,216","17,421","2,051","2,482",,,,"43,170"
Argyll and Bute,SNP,SNP,"21,040",43.80%,"4,110",72.20%,"21,040","16,930","3,248","6,832",,,,"48,050"
"Ayr, Carrick and Cumnock",Con,SNP,"20,272",43.50%,"2,329",64.70%,"20,272","17,943","6,219","2,158",,,,"46,592"
Banff and Buchan,Con,Con,"21,182",50.10%,"4,118",63.40%,"17,064","21,182","1,734","2,280",,,,"42,356"
"Berwickshire, Roxburgh and Selkirk",Con,Con,"25,747",48.40%,"5,148",71.30%,"20,599","25,747","2,513","4,287",,,,"53,146"
"Caithness, Sutherland and Easter Ross",LD,LD,"11,705",37.20%,204,67%,"11,501","5,176","1,936","11,705",,"1,139",,"31,457"
Central Ayrshire,SNP,SNP,"21,486",46.20%,"5,304",66.70%,"21,486","16,182","6,583","2,283",,,,"46,534"
"Coatbridge, Chryston and Bellshill",Lab,SNP,"22,680",47.00%,"5,624",66.10%,"22,680","6,113","17,056","1,564",808,,,"48,342"
"Cumbernauld, Kilsyth and Kirkintilloch East",SNP,SNP,"24,158",52.70%,"12,976",69.35%,"24,158","7,380","11,182","2,966",,,,"45,829"
Dumfries and Galloway,Con,Con,"22,678",44.10%,"1,805",68.70%,"20,873","22,678","4,745","3,133",,,,"51,429"
"Dumfriesshire, Clydesdale and Tweeddale",Con,Con,"22,611",46.00%,"3,781",71.90%,"18,830","22,611","4,172","3,540",,,,"49,153"
Dundee East,SNP,SNP,"24,361",53.80%,"13,375",68.40%,"24,361","10,986","6,045","3,573",,,312,"45,277"
Dundee West,SNP,SNP,"22,355",53.80%,"12,259",64.50%,"22,355","5,149","10,096","2,468",,"1,271",240,"41,579"
Dunfermline and West Fife,SNP,SNP,"23,727",44.40%,"10,669",69.80%,"23,727","11,207","13,028","4,262","1,258",,,"53,482"
East Dunbartonshire,LD,SNP,"19,672",37.10%,149,80.30%,"19,672","7,455","4,839","19,523",916,,626,"53,031"
"East Kilbride, Strathaven and Lesmahagow",SNP,SNP,"26,113",46.40%,"13,322",69.40%,"26,113","11,961","12,791","3,760","1,153",,559,"56,337"
East Lothian,Lab,SNP,"21,156",36.20%,"3,886",71.70%,"21,156","15,523","17,270","4,071",,,493,"58,531"
East Renfrewshire,Con,SNP,"24,877",44.90%,"5,426",76.60%,"24,877","19,451","6,855","4,174",,,,"55,357"
Edinburgh East,SNP,SNP,"23,165",48.40%,"10,417",68.90%,"23,165","6,549","12,748","3,289","2,064",,,"47,815"
Edinburgh North and Leith,SNP,SNP,"25,925",43.70%,"12,808",73.00%,"25,925","11,000","13,117","6,635","1,971",558,138,"59,344"
Edinburgh South,Lab,Lab,"23,745",47.70%,"11,095",75.10%,"12,650","8,161","23,745","3,819","1,357",,,"49,732"
